2022-08-24 18:28:58,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-24 19:46:27,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-24 19:55:24,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-24 19:57:14,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-24 21:27:03,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-24 21:27:57,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-24 21:28:02,Put,21000.0,21746.65,0.004,-0.19019,0.00031,3.81329,-0.17643
2022-08-24 21:28:02,Call,22500.0,21746.65,0.003,0.17984,0.00033,3.68291,0.15992
2022-08-24 21:28:07,Put,21000.0,21747.7,0.004,-0.19022,0.00031,3.81373,-0.17647
2022-08-24 21:28:07,Call,22500.0,21747.7,0.003,0.18006,0.00033,3.68578,0.16012
2022-08-24 21:28:13,Put,21000.0,21744.54,0.004,-0.19096,0.00031,3.82237,-0.17714
2022-08-24 21:28:13,Call,22500.0,21744.54,0.003,0.17933,0.00033,3.67608,0.15946
2022-08-24 21:28:18,Put,21000.0,21744.28,0.004,-0.19117,0.00031,3.82492,-0.17733
2022-08-24 21:28:18,Call,22500.0,21744.28,0.003,0.17911,0.00033,3.67305,0.15926
2022-08-24 21:28:23,Put,21000.0,21746.89,0.004,-0.19043,0.00031,3.81622,-0.17666
2022-08-24 21:28:23,Call,22500.0,21746.89,0.003,0.17998,0.00033,3.68482,0.16005
2022-08-24 21:28:28,Put,21000.0,21747.13,0.004,-0.19047,0.00031,3.81666,-0.17669
2022-08-24 21:28:28,Call,22500.0,21747.13,0.003,0.17994,0.00033,3.68419,0.16001
2022-08-24 21:28:33,Put,21000.0,21747.38,0.004,-0.19046,0.00031,3.81566,-0.1766
2022-08-24 21:28:33,Call,22500.0,21747.38,0.003,0.17986,0.00033,3.68235,0.15987
2022-08-24 21:28:38,Put,21000.0,21743.58,0.004,-0.19117,0.00031,3.82407,-0.17725
2022-08-24 21:28:38,Call,22500.0,21743.58,0.003,0.17915,0.00033,3.67282,0.15923
2022-08-24 21:28:43,Put,21000.0,21744.34,0.004,-0.19127,0.00031,3.82521,-0.17734
2022-08-24 21:28:43,Call,22500.0,21744.34,0.003,0.17904,0.00033,3.67132,0.15912
2022-08-24 21:28:48,Put,21000.0,21744.86,0.004,-0.19118,0.00031,3.82416,-0.17726
2022-08-24 21:28:48,Call,22500.0,21744.86,0.003,0.17904,0.00033,3.67132,0.15912
